SIGNAL_ID,LOCATION_NAME,SIGNAL_TYPE,SIGNAL_STATUS,ATD_LOCATION_ID,COA_INTERSECTION_ID,COMM_PLAN,CONTROL,COUNCIL_DISTRICT,PRIMARY_ST,PRIMARY_ST_AKA,CROSS_ST,CROSS_ST_AKA,CROSS_ST_SEGMENT_ID,LANDMARK,IP_CONTROL,IP_SWITCH,PRIMARY_SIGNAL,JURISDICTION_LABEL,PRIMARY_ST_SEGMENT_ID,SIGNAL_ENG_AREA,SWITCH_COMM,TRAFFIC_ENG_AREA,TURN_ON_DATE,MODIFIED_DATE,LOCATION,LATITUDE,LONGITUDE,CROSS_ST_BLOCK,PRIMARY_ST_BLOCK,SIGNAL_PM_MAX_FISCAL_YEAR,PEDESTRIAN_SIGNAL_TYPE,SECONDARY_SIGNALS,SOURCE_DB_ID,IP_COMM_STATUS,COMM_STATUS_DATETIME_UTC,OWNER,DETECTION_STATUS,DETECTION_STATUS_DATE,CONSTRUCTION_NOTE,CONSTRUCTION_NOTE_DATE,LOCATION_LATITUDE,LOCATION_LONGITUDE
4075,400 BLK S CONGRESS AVE (South of Riverside Dr),PHB,DESIGN,LOC16-005125,,,PRIMARY,9,CONGRESS AVE,,,,,South of Riverside Dr,,,,AUSTIN FULL PURPOSE,2042946,SOUTH,,,,05/21/2017 11:08:00 AM +0000,"(30.256085, -97.747292)",30.256085,-97.747292,,400,,,,592201e15a245b42249531d8,OFFLINE,,COA,NO DETECTION,,,,30.256085,-97.747292
4074,LAMAR BLVD / DICKSON DR,PHB,DESIGN,LOC16-006210,5152271,,PRIMARY,5,LAMAR BLVD,,DICKSON DR,,2034795,,,,,AUSTIN FULL PURPOSE,2026530,SOUTH,,,,05/21/2017 11:08:00 AM +0000,"(30.2453482, -97.7799133)",30.2453482,-97.7799133,2001,2600,,,,592201d0ce8ea33964cda481,OFFLINE,,COA,NO DETECTION,,,,30.2453482,-97.7799133
67,RED RIVER ST / 32ND ST,TRAFFIC,TURNED_ON,LOC16-000330,5159140,,PRIMARY,9,RED RIVER ST,,32ND ST,,2017255,,1,1,,AUSTIN FULL PURPOSE,2017191,CENTRAL,Both,,04/30/1956,09/20/2016 07:00:00 PM +0000,"(30.2910519, -97.72715)",30.2910519,-97.72715,902,3100,,COUNTDOWN,,5817c07ce052e0422be6c47a,ONLINE,05/12/2017 06:45:00 PM +0000,COA,OK,03/08/2016 06:00:00 PM +0000,,,30.2910519,-97.72715
66,DEAN KEETON ST / WHITIS AVE,TRAFFIC,TURNED_ON,LOC16-000325,5157276,,PRIMARY,9,DEAN KEETON ST,,WHITIS AVE,,2017248,,1,1,,AUSTIN FULL PURPOSE,2017249,CENTRAL,Both,,04/20/1972,09/20/2016 07:00:00 PM +0000,"(30.2897549, -97.7402496)",30.2897549,-97.7402496,2600,300,2015,COUNTDOWN,,5817c07ce052e0422be6c478,ONLINE,05/12/2017 06:45:00 PM +0000,COA,NO DETECTION,06/13/2017 07:00:00 PM +0000,,,30.2897549,-97.7402496
64,38TH HALF ST / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-000315,5159923,,PRIMARY,9,38TH HALF ST,,IH 35 SVRD,,2016920,,1,1,,AUSTIN FULL PURPOSE,2016921,CENTRAL,Both,,05/04/1956,09/20/2016 07:00:00 PM +0000,"(30.294981, -97.7197723)",30.294981,-97.7197723,3820,1014,2017,WALK/DONT WALK,72:  38TH HALF ST / 35 SVRD,5817c07ce052e0422be6c474,ONLINE,05/12/2017 06:45:00 PM +0000,TxDOT,OK,06/05/2016 07:00:00 PM +0000,,,30.294981,-97.7197723
63,RED RIVER ST / 41ST ST,TRAFFIC,TURNED_ON,LOC16-000310,5159617,,PRIMARY,9,RED RIVER ST,,41ST ST,,2016762,,1,1,,AUSTIN FULL PURPOSE,2016652,CENTRAL,Both,,11/19/1969,09/20/2016 07:00:00 PM +0000,"(30.2996826, -97.7223892)",30.2996826,-97.7223892,900,4100,2017,WALK/DONT WALK,,5817c07be052e0422be6c472,ONLINE,05/12/2017 06:45:00 PM +0000,COA,OK,06/13/2017 07:00:00 PM +0000,,,30.2996826,-97.7223892
14,AIRPORT BLVD / GUADALUPE ST,TRAFFIC,TURNED_ON,LOC16-000065,5160128,,PRIMARY,4,AIRPORT BLVD,,GUADALUPE ST,,2011837,,0,0,,AUSTIN FULL PURPOSE,2011840,NORTH,Controller Only,,09/21/1970,09/20/2016 07:00:00 PM +0000,"(30.3339596, -97.7169266)",30.3339596,-97.7169266,6800,6800,2017,COUNTDOWN,,5817c079e052e0422be6c410,ONLINE,05/12/2017 06:44:00 PM +0000,COA,OK,06/13/2017 07:00:00 PM +0000,,,30.3339596,-97.7169266
13,KOENIG LN / WOODROW AVE,TRAFFIC,TURNED_ON,LOC16-000060,5158454,,PRIMARY,7,KOENIG LN,,WOODROW AVE,,2011980,,1,1,,AUSTIN FULL PURPOSE,2011981,NORTH,Both,,09/11/1958,09/20/2016 07:00:00 PM +0000,"(30.3308716, -97.7315903)",30.3308716,-97.7315903,5900,1400,2017,WALK/DONT WALK,,5817c079e052e0422be6c40e,ONLINE,08/11/2017 01:49:00 PM +0000,COA,OK,11/19/2015 06:00:00 PM +0000,,,30.3308716,-97.7315903
2,GUADALUPE ST / LAMAR BLVD,TRAFFIC,TURNED_ON,LOC16-000005,5158418,,PRIMARY,9,GUADALUPE ST,,LAMAR BLVD,,2046174,,1,1,,AUSTIN FULL PURPOSE,2046169,CENTRAL,Both,,03/16/1965,12/04/2016 11:08:00 AM +0000,"(30.3166466, -97.7322464)",30.3166466,-97.7322464,4701,4700,,WALK/DONT WALK,,58164b9af9195edb2a5e3a07,ONLINE,05/12/2017 06:44:00 PM +0000,COA,OK,06/13/2017 07:00:00 PM +0000,,,30.3166466,-97.7322464
4073,1ST ST / CAMPERDOWN ELM DR,PHB,DESIGN,LOC16-006650,5150527,,PRIMARY,5,1ST ST,,CAMPERDOWN ELM DR,,3200925,,,,,AUSTIN FULL PURPOSE,3200919,SOUTH,,,,05/21/2017 11:08:00 AM +0000,"(30.1542155, -97.8006264)",30.1542155,-97.8006264,111,10200,,,,592201c8c86865413abf2f89,OFFLINE,,COA,NO DETECTION,,,,30.1542155,-97.8006264
901,WEST GATE BLVD / JONES RD,TRAFFIC,TURNED_ON,LOC16-004440,5150053,,PRIMARY,5,WEST GATE BLVD,,JONES RD,,2024286,,0,0,,AUSTIN FULL PURPOSE,2024285,SOUTH,Controller Only,,05/25/1983,09/20/2016 07:00:00 PM +0000,"(30.2256088, -97.8038712)",30.2256088,-97.8038712,2701,4900,2017,COUNTDOWN,,5817c0c1e052e0422be6cb4c,ONLINE,05/12/2017 06:59:00 PM +0000,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.2256088,-97.8038712
900,STASSNEY LN / CHERRY CREEK DR,TRAFFIC,TURNED_ON,LOC16-004435,5149781,,PRIMARY,5,STASSNEY LN,,CHERRY CREEK DR,,2026564,,0,0,,AUSTIN FULL PURPOSE,2041677,SOUTH,Controller Only,,05/11/1983,09/20/2016 07:00:00 PM +0000,"(30.2190113, -97.8071289)",30.2190113,-97.8071289,5601,2508,2017,WALK/DONT WALK,,5817c0c0e052e0422be6cb47,ONLINE,05/12/2017 06:59:00 PM +0000,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.2190113,-97.8071289
896,FM 620 RD / 183 HWY SVRD,TRAFFIC,TURNED_ON,LOC16-004415,5150132,,PRIMARY,6,FM 620 RD,,US 183 HWY SVRD,,3271325,,1,1,,AUSTIN FULL PURPOSE,3271137,NORTH,Both,,10/05/2009,09/20/2016 07:00:00 PM +0000,"(30.4691181, -97.7966461)",30.4691181,-97.7966461,13877,13100,2017,WALK/DONT WALK,897: FM 620 RD / 183 HWY SVRD,5817c0bfe052e0422be6cb3b,ONLINE,05/12/2017 06:59:00 PM +0000,TxDOT,BROKEN,06/25/2017 07:00:00 PM +0000,,,30.4691181,-97.7966461
885,MANCHACA RD / RAVENSCROFT DR,TRAFFIC,TURNED_ON,LOC16-004360,5147818,,PRIMARY,5,MANCHACA RD,,RAVENSCROFT DR,,2028038,,0,0,,AUSTIN FULL PURPOSE,2028036,SOUTH,None,,04/16/2003,09/20/2016 07:00:00 PM +0000,"(30.1571236, -97.8333054)",30.1571236,-97.8333054,1801,11119,2017,WALK/DONT WALK,,5817c0bce052e0422be6cb1b,OFFLINE,,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.1571236,-97.8333054
877,SH 71  / 973 RD,TRAFFIC,TURNED_ON,LOC16-004320,5167205,,PRIMARY,2,SH 71,,FM 973 RD,,2023666,,1,1,,AUSTIN FULL PURPOSE,2023667,SOUTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.2023029, -97.6377563)",30.2023029,-97.6377563,3301,3228,2017,UNKNOWN,878: SH 71 SVRD / 973 RD,5817c0b8e052e0422be6cb04,OFFLINE,,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.2023029,-97.6377563
871,BURNET RD / ESPERANZA XING,TRAFFIC,TURNED_ON,LOC16-004290,5159662,,PRIMARY,7,BURNET RD,,ESPERANZA XING,,3283368,,1,1,,AUSTIN FULL PURPOSE,3321604,NORTH,Both,,05/12/2010,09/20/2016 07:00:00 PM +0000,"(30.3983212, -97.7193222)",30.3983212,-97.7193222,2901,11100,,WALK/DONT WALK,,5817c0b7e052e0422be6caf3,ONLINE,05/12/2017 06:58:00 PM +0000,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.3983212,-97.7193222
870,FM 2222 RD / LAKEWOOD DR,TRAFFIC,TURNED_ON,LOC16-004285,5151164,,PRIMARY,10,FM 2222 RD,,LAKEWOOD DR,,2039985,,0,0,,AUSTIN FULL PURPOSE,2040015,NORTH,None,,01/11/2012,09/20/2016 07:00:00 PM +0000,"(30.3589134, -97.7877274)",30.3589134,-97.7877274,6200,5600,2016,NONE,,5817c0b7e052e0422be6caf1,ONLINE,05/12/2017 06:58:00 PM +0000,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.3589134,-97.7877274
4033,LAMAR BLVD / 31ST ST,PHB,TURNED_ON,LOC16-005155,5156307,,PRIMARY,9,LAMAR BLVD,,31ST ST,,2019797,,0,0,,AUSTIN FULL PURPOSE,2019796,CENTRAL,PHB,,04/14/2013,09/20/2016 07:00:00 PM +0000,"(30.3004322, -97.7461166)",30.3004322,-97.7461166,907,3006,,,,5817c0e7e052e0422be6cce8,ONLINE,05/12/2017 07:01:00 PM +0000,COA,NO DETECTION,,,,30.3004322,-97.7461166
4032,MANCHACA RD / PRATHER LN (Ann Richard's School),PHB,TURNED_ON,LOC16-005150,5151650,,PRIMARY,5,MANCHACA RD,,PRATHER LN,,2024035,Ann Richard's School,0,0,,AUSTIN FULL PURPOSE,2024034,SOUTH,PHB,,03/21/2013,09/20/2016 07:00:00 PM +0000,"(30.2339172, -97.7857132)",30.2339172,-97.7857132,2001,3728,,,,5817c0e7e052e0422be6cce4,OFFLINE,,COA,NO DETECTION,,,,30.2339172,-97.7857132
4031,2400 BLK S 1ST ST (Austin Health and Human Services),PHB,TURNED_ON,LOC16-005145,,,PRIMARY,3,1ST ST,,,,,Austin Health and Human Services,0,1,,AUSTIN FULL PURPOSE,2023882,SOUTH,PHB Switch,,02/17/2013,09/20/2016 07:00:00 PM +0000,"(30.2397861, -97.7610931)",30.2397861,-97.7610931,,2400,,,,5817c0e6e052e0422be6cce1,ONLINE,05/12/2017 07:01:00 PM +0000,COA,NO DETECTION,,,,30.2397861,-97.7610931
4030,RED RIVER ST / 18TH ST (Frank Erwin Center (North)),PHB,TURNED_ON,LOC16-005140,5158469,,PRIMARY,1,RED RIVER ST,,18TH ST,,2046320,Frank Erwin Center (North),0,0,,AUSTIN FULL PURPOSE,2046318,CENTRAL,PHB,,10/18/2012,09/20/2016 07:00:00 PM +0000,"(30.2778988, -97.7329407)",30.2778988,-97.7329407,500,1500,,,,5817c0e6e052e0422be6ccde,OFFLINE,,COA,NO DETECTION,,,,30.2778988,-97.7329407
796,WELLS BRANCH PKWY / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-003915,5165050,,PRIMARY,7,WELLS BRANCH PKWY,,IH 35 SVRD,,2005398,,0,0,,AUSTIN FULL PURPOSE,2005396,NORTH,Both,,01/09/2008,09/20/2016 07:00:00 PM +0000,"(30.440731, -97.6677628)",30.440731,-97.6677628,15000,1511,2017,UNKNOWN,797:  WELLS BRANCH PKWY / 35 SVRD,5817c0abe052e0422be6ca40,ONLINE,05/12/2017 06:57:00 PM +0000,TxDOT,OK,06/22/2017 07:00:00 PM +0000,,,30.440731,-97.6677628
4013,8305 BLK CROSS PARK DR (Travis County Appraisal District (TCAD)),PHB,TURNED_ON,LOC16-005055,,,PRIMARY,1,CROSS PARK DR,,,,,Travis County Appraisal District (TCAD),0,0,,AUSTIN FULL PURPOSE,2040296,NORTH,PHB,,03/27/2011,09/20/2016 07:00:00 PM +0000,"(30.3357239, -97.6709976)",30.3357239,-97.6709976,,8305,,,,5817c0e3e052e0422be6ccae,OFFLINE,,COA,NO DETECTION,,,,30.3357239,-97.6709976
4012,109 BLK W OLTORF ST (St. Ignacious / HEB),PHB,TURNED_ON,LOC16-005050,,,PRIMARY,9,OLTORF ST,,,,,St. Ignacious / HEB,0,0,,AUSTIN FULL PURPOSE,2047138,SOUTH,PHB,,02/16/2011,09/20/2016 07:00:00 PM +0000,"(30.2398262, -97.7552109)",30.2398262,-97.7552109,,109,,,,5817c0e2e052e0422be6ccaa,OFFLINE,,COA,NO DETECTION,,,,30.2398262,-97.7552109
795,BRODIE LN / HOME DEPOT BLVD,TRAFFIC,TURNED_ON,LOC16-003910,5148542,,PRIMARY,,BRODIE LN,,HOME DEPOT BLVD,,2037432,,0,1,,SUNSET VALLEY FULL PURPOSE,2046304,SOUTH,Both,,06/12/2002,09/20/2016 07:00:00 PM +0000,"(30.2258797, -97.8227463)",30.2258797,-97.8227463,1001,5701,2017,WALK/DONT WALK,,5817c0abe052e0422be6ca3e,ONLINE,05/12/2017 06:57:00 PM +0000,Sunset Valley,OK,06/22/2017 07:00:00 PM +0000,,,30.2258797,-97.8227463
794,SOUTHWEST PKWY / MOPAC EXPY SVRD,TRAFFIC,TURNED_ON,LOC16-003905,5148537,,PRIMARY,8,SOUTHWEST PKWY,,MOPAC EXPY SVRD,,2026266,,0,1,,AUSTIN FULL PURPOSE,2026608,SOUTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.2364311, -97.822525)",30.2364311,-97.822525,4911,3900,2017,NONE,793:  SOUTHWEST PKWY / MOPAC EXPY SVRD,5817c0abe052e0422be6ca3c,ONLINE,05/12/2017 06:57:00 PM +0000,TxDOT,OK,06/22/2017 07:00:00 PM +0000,,,30.2364311,-97.822525
790,US 290 HWY SVRD / MOPAC EXPY SVRD,TRAFFIC,TURNED_ON,LOC16-003885,5148415,,PRIMARY,8,US 290 HWY SVRD,,MOPAC EXPY SVRD,,2026600,,0,1,,AUSTIN FULL PURPOSE,2026521,SOUTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.2346859, -97.8241196)",30.2346859,-97.8241196,5101,5029,2017,NONE,792: US 290 HWY SVRD / MOPAC EXPY SVRD,5817c0aae052e0422be6ca32,ONLINE,05/12/2017 06:57:00 PM +0000,TxDOT,OK,06/22/2017 07:00:00 PM +0000,,,30.2346859,-97.8241196
789,US 290 HWY SVRD / MOPAC EXPY SVRD,TRAFFIC,TURNED_ON,LOC16-003880,5148485,,PRIMARY,8,US 290 HWY SVRD,,MOPAC EXPY SVRD,,2026621,,0,1,,AUSTIN FULL PURPOSE,2026267,SOUTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.2358036, -97.8232193)",30.2358036,-97.8232193,5001,5000,2017,NONE,791: US 290 HWY SVRD / MOPAC EXPY SVRD,5817c0aae052e0422be6ca30,ONLINE,05/12/2017 06:57:00 PM +0000,TxDOT,OK,06/22/2017 07:00:00 PM +0000,,,30.2358036,-97.8232193
4029,1500 BLK RED RIVER ST (Frank Erwin Center (South)),PHB,TURNED_ON,LOC16-005135,,,PRIMARY,1,RED RIVER ST,,,,,Frank Erwin Center (South),0,0,,AUSTIN FULL PURPOSE,2046318,CENTRAL,PHB,,03/02/2017,03/02/2017 10:41:00 AM +0000,"(30.277128, -97.733251)",30.277128,-97.733251,,1500,,,,5817c0e5e052e0422be6ccd9,OFFLINE,,COA,NO DETECTION,,,,30.277128,-97.733251
4027,400 BLK S CONGRESS AVE (Texas School for the Deaf),PHB,TURNED_ON,LOC17-007420,,,PRIMARY,9,CONGRESS AVE,,,,,Texas School for the Deaf,0,0,,AUSTIN FULL PURPOSE,2042946,SOUTH,PHB,,04/27/2012,09/20/2016 07:00:00 PM +0000,"(30.253627, -97.748178)",30.253627,-97.748178,,400,,,,5817c0e5e052e0422be6ccd4,ONLINE,05/12/2017 07:01:00 PM +0000,COA,NO DETECTION,,,,30.253627,-97.748178
4026,CAMERON RD / CORONA DR,PHB,TURNED_ON,LOC16-005120,5161439,,PRIMARY,4,CAMERON RD,,CORONA DR,,2015825,,0,0,,AUSTIN FULL PURPOSE,2015685,NORTH,PHB,,03/25/2012,09/20/2016 07:00:00 PM +0000,"(30.313036, -97.7050323)",30.313036,-97.7050323,1200,5500,,,,5817c0e4e052e0422be6cccf,OFFLINE,,COA,NO DETECTION,,,,30.313036,-97.7050323
4025,1ST ST / THELMA DR (Bedichek Middle School),PHB,TURNED_ON,LOC16-005115,5151399,,PRIMARY,2,1ST ST,,THELMA DR,,2025541,Bedichek Middle School,0,1,,AUSTIN FULL PURPOSE,2025503,SOUTH,PHB Switch,,03/13/2012,09/20/2016 07:00:00 PM +0000,"(30.1945152, -97.7894363)",30.1945152,-97.7894363,411,6809,2017,,,5817c0e4e052e0422be6cccd,ONLINE,05/12/2017 07:01:00 PM +0000,COA,NO DETECTION,,,,30.1945152,-97.7894363
4024,CONGRESS AVE / COLEMAN ST,PHB,TURNED_ON,LOC16-005110,5154795,,PRIMARY,3,CONGRESS AVE,,COLEMAN ST,,2024088,,0,0,,AUSTIN FULL PURPOSE,2024087,SOUTH,PHB,,03/07/2012,09/20/2016 07:00:00 PM +0000,"(30.2311382, -97.7592926)",30.2311382,-97.7592926,101,3100,,,,5817c0e4e052e0422be6cccb,ONLINE,05/12/2017 07:01:00 PM +0000,COA,NO DETECTION,,,,30.2311382,-97.7592926
4023,CONGRESS AVE / LA VISTA ST (St. Edwards),PHB,TURNED_ON,LOC16-005105,5154891,,PRIMARY,3,CONGRESS AVE,,LA VISTA ST,,2024047,St. Edwards,0,0,,AUSTIN FULL PURPOSE,2024073,SOUTH,PHB,,03/07/2012,09/20/2016 07:00:00 PM +0000,"(30.2325363, -97.7584152)",30.2325363,-97.7584152,101,3000,,,,5817c0e4e052e0422be6ccc7,ONLINE,05/12/2017 07:01:00 PM +0000,COA,NO DETECTION,,,,30.2325363,-97.7584152
827,FM 2222 RD / RIVER PLACE BLVD,TRAFFIC,TURNED_ON,LOC16-004070,5146187,,PRIMARY,6,FM 2222 RD,,RIVER PLACE BLVD,,2042708,,0,1,,AUSTIN FULL PURPOSE,2012713,NORTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.3945255, -97.8455124)",30.3945255,-97.8455124,6701,10600,2016,WALK/DONT WALK,,5817c0afe052e0422be6ca87,ONLINE,05/12/2017 06:57:00 PM +0000,COA,OK,06/22/2017 07:00:00 PM +0000,,,30.3945255,-97.8455124
826,FM 2222 RD / MC NEIL DR,TRAFFIC,TURNED_ON,LOC16-004065,5147094,,PRIMARY,10,FM 2222 RD,,MC NEIL DR,,2039469,,0,1,,AUSTIN FULL PURPOSE,2042720,NORTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.3920841, -97.8351898)",30.3920841,-97.8351898,10000,10100,2016,COUNTDOWN,,5817c0aee052e0422be6ca83,ONLINE,05/12/2017 06:57:00 PM +0000,COA,OK,06/22/2017 07:00:00 PM +0000,,,30.3920841,-97.8351898
489,MANOR RD / ROGGE LN,TRAFFIC,TURNED_ON,LOC16-002400,5164125,,PRIMARY,1,MANOR RD,,ROGGE LN,,2016271,,0,0,,AUSTIN FULL PURPOSE,2016270,CENTRAL,None,,08/27/1970,09/20/2016 07:00:00 PM +0000,"(30.304554, -97.6813126)",30.304554,-97.6813126,2706,5700,2017,WALK/DONT WALK,,5817c08ee052e0422be6c7b6,OFFLINE,,COA,BROKEN,07/12/2017 07:00:00 PM +0000,,,30.304554,-97.6813126
937,ANDERSON LN SVRD / CAMERON RD,TRAFFIC,TURNED_ON,LOC16-007235,5163480,,PRIMARY,4,ANDERSON LN SVRD,US 183 WB SVRD,CAMERON RD,,3267689,,,,,AUSTIN FULL PURPOSE,3259899,NORTH,N/A,,11/07/2016,11/08/2016 06:00:00 PM +0000,"(30.332819, -97.686158)",30.332819,-97.686158,7800,1400,2017,COUNTDOWN,931:  ANDERSON LN SVRD / CAMERON RD,5823a9eabf1c59412b2f5cd8,OFFLINE,,TxDOT,OK,06/25/2017 07:00:00 PM +0000,,,30.332819,-97.686158
